id,platform,repo_name,region
17961972,gitee,openeuler/openeuler-docker-images,China
11218606,gitee,openharmony/third_party_wpa_supplicant,China
29860807,gitee,openeuler/easybox,China
7347556,gitee,dromara/dbswitch,
32694723,gitee,openeuler/yunyi,China
33860243,gitee,openeuler/oeAware-manager,China
5793525,gitee,getrebuild/rebuild,
23442465,gitee,openkylin/linux,China
13010970,gitee,xiaonuobase/snowy,
7333579,gitee,lab1024/smart-admin,
22429427,gitee,openkylin/qt5-ukui-platformtheme,China
24108890,gitee,openharmony/distributeddatamgr_preferences,China
26198470,gitee,openeuler/BiShengCLanguage,China
14752796,gitee,ccnetcore/Yi,
27424575,gitee,openharmony/ide_previewer,China
18602763,gitee,mimrc/autumn-ui,
33873184,gitee,openharmony/kernel_linux_6.6,China
9101163,gitee,g1879/DrissionPage,
17138080,gitee,openharmony-sig/cicd,China
30522777,gitee,openharmony/applications_dlp_manager,China
29241613,gitee,openharmony/resourceschedule_device_standby,China
19447558,gitee,youlaiorg/vue3-element-admin,
32132958,gitee,openeuler/kytuning-client,China
25280228,gitee,openeuler/llvm-project,China
14148134,gitee,myems/myems,
7399045,gitee,openeuler/iSulad,China
6960337,gitee,src-openeuler/systemd,China
34229105,gitee,openkylin/kylin-aiassistant,China
33478872,gitee,openeuler/sysSentry,China
20120487,gitee,openharmony/developtools_hiperf,China
24753730,gitee,anolis-challenge/activity-school,China
25366410,gitee,deep-spark/deepsparkhub,
37217056,gitee,openeuler/kyclassifier,China
7910084,gitee,src-openeuler/gcc,China
7983718,gitee,dromara/sa-token,
1749908,gitee,ken678/YZNCMS,
16185015,gitee,openharmony/third_party_libinput,China
16815043,gitee,openharmony/sensors_sensor,China
23078005,gitee,openeuler/kylin-installer,China
16184945,gitee,openharmony/telephony_sms_mms,China
31911889,gitee,openharmony-sig/ostest_integration_test,China
20130380,gitee,openharmony/developtools_hapsigner,China
10235058,gitee,openLuat/Luat_Lua_Air724U,
25867707,gitee,bluexsx/box-im,
17327498,gitee,openharmony/resourceschedule_background_task_mgr,China
2820481,gitee,kekingcn/file-online-preview,
