id,platform,repo_name,company
20945818,gitee,opengauss/CBB,Huawei
30958774,gitee,openharmony-sig/flutter_packages,Huawei
14259930,gitee,rtthread/docs-online,
29081856,gitee,openharmony/distributeddatamgr_udmf,Huawei
16184974,gitee,openharmony/multimedia_media_foundation,Huawei
25902776,gitee,opengauss/DMS,Huawei
17957353,gitee,openeuler/yocto-embedded-tools,Huawei
17105384,gitee,openeuler/gcc,Huawei
27692271,gitee,aizuda/flowlong,
9313139,gitee,y_project/RuoYi-Cloud,
23223965,gitee,OpenCloudOS/OpenCloudOS-Kernel,
13725630,gitee,ascend/ascend-for-volcano,
33478891,gitee,src-openeuler/sysSentry,Huawei
28861268,gitee,yudaocode/yudao-mall-uniapp,
20345477,gitee,openharmony/distributedhardware_distributed_hardware_fwk,Huawei
9159413,gitee,openeuler/QA,Huawei
16184890,gitee,openharmony/applications_hap,Huawei
33761492,gitee,openharmony/multimedia_image_effect,Huawei
17961972,gitee,openeuler/openeuler-docker-images,Huawei
11218606,gitee,openharmony/third_party_wpa_supplicant,Huawei
29860807,gitee,openeuler/easybox,Huawei
7347556,gitee,dromara/dbswitch,
32694723,gitee,openeuler/yunyi,Huawei
33860243,gitee,openeuler/oeAware-manager,Huawei
5793525,gitee,getrebuild/rebuild,
23442465,gitee,openkylin/linux,openKylin
13010970,gitee,xiaonuobase/snowy,
7333579,gitee,lab1024/smart-admin,
22429427,gitee,openkylin/qt5-ukui-platformtheme,openKylin
24108890,gitee,openharmony/distributeddatamgr_preferences,Huawei
26198470,gitee,openeuler/BiShengCLanguage,Huawei
14752796,gitee,ccnetcore/Yi,
27424575,gitee,openharmony/ide_previewer,Huawei
18602763,gitee,mimrc/autumn-ui,
33873184,gitee,openharmony/kernel_linux_6.6,Huawei
9101163,gitee,g1879/DrissionPage,
17138080,gitee,openharmony-sig/cicd,Huawei
30522777,gitee,openharmony/applications_dlp_manager,Huawei
29241613,gitee,openharmony/resourceschedule_device_standby,Huawei
19447558,gitee,youlaiorg/vue3-element-admin,
32132958,gitee,openeuler/kytuning-client,Huawei
25280228,gitee,openeuler/llvm-project,Huawei
14148134,gitee,myems/myems,
7399045,gitee,openeuler/iSulad,Huawei
6960337,gitee,src-openeuler/systemd,Huawei
34229105,gitee,openkylin/kylin-aiassistant,openKylin
33478872,gitee,openeuler/sysSentry,Huawei
20120487,gitee,openharmony/developtools_hiperf,Huawei
24753730,gitee,anolis-challenge/activity-school,Alibaba
25366410,gitee,deep-spark/deepsparkhub,
37217056,gitee,openeuler/kyclassifier,Huawei
7910084,gitee,src-openeuler/gcc,Huawei
7983718,gitee,dromara/sa-token,
1749908,gitee,ken678/YZNCMS,
16185015,gitee,openharmony/third_party_libinput,Huawei
16815043,gitee,openharmony/sensors_sensor,Huawei
23078005,gitee,openeuler/kylin-installer,Huawei
16184945,gitee,openharmony/telephony_sms_mms,Huawei
31911889,gitee,openharmony-sig/ostest_integration_test,Huawei
20130380,gitee,openharmony/developtools_hapsigner,Huawei
10235058,gitee,openLuat/Luat_Lua_Air724U,
25867707,gitee,bluexsx/box-im,
17327498,gitee,openharmony/resourceschedule_background_task_mgr,Huawei
2820481,gitee,kekingcn/file-online-preview,
17567118,gitee,openharmony/hiviewdfx_hitrace,Huawei
16185048,gitee,openharmony/commonlibrary_c_utils,Huawei
31627278,gitee,openeuler/fastblock,Huawei
16227521,gitee,canonical-entropy/nop-entropy,
36477598,gitee,OpenCloudOS/rpm_info,
6960207,gitee,src-openeuler/python3,Huawei
14557186,gitee,openharmony/developtools_packing_tool,Huawei
26719727,gitee,openharmony/developtools_integration_verification,Huawei
26681193,gitee,continew/continew-admin,
17221672,gitee,openeuler/PilotGo-plugins,Huawei
7533441,gitee,dromara/MaxKey,
6585496,gitee,openeuler/infrastructure,Huawei
7911474,gitee,ghi/dbsyncer,
20248160,gitee,openharmony/third_party_mindspore,Huawei
23484796,gitee,openkylin/ukui-touch-settings-plugin,openKylin
31822281,gitee,openkylin/ukui-framework,openKylin
9953161,gitee,spark-store-project/spark-store,
24108909,gitee,openharmony/distributeddatamgr_data_share,Huawei
32473041,gitee,openeuler/bishengjdk-21,Huawei
29329977,gitee,openharmony/developtools_smartperf_host,Huawei
26371726,gitee,openharmony-sig/ohos_ijkplayer,Huawei
22429216,gitee,openkylin/ukui-sidebar,openKylin
6960030,gitee,src-openeuler/openssl,Huawei
30780167,gitee,openharmony/security_code_signature,Huawei
10084036,gitee,opengauss/openGauss-connector-jdbc,Huawei
11494661,gitee,dromara/mica-mqtt,
